epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.22997763752937317	0.04930923879146576	0.24456969020333116	0.20939597487449646	0.09161698818206787	0.2310078811212454
20.0	0.29127517342567444	0.06361677497625351	0.30997320874821316	0.2554810047149658	0.11302317678928375	0.28591853068873013
30.0	0.313646525144577	0.07041268050670624	0.3284739522791991	0.2651006579399109	0.11510016769170761	0.2969228943496639
40.0	0.30380314588546753	0.0675777718424797	0.3240063767593925	0.2711409628391266	0.11906388401985168	0.30160209922876946
50.0	0.29798659682273865	0.0656045526266098	0.31777092169265314	0.26085010170936584	0.11534539610147476	0.29263692200201374
60.0	0.29082775115966797	0.06374230235815048	0.31305316076482576	0.2559284269809723	0.11187043786048889	0.28886242706241433
70.0	0.2832214832305908	0.06300975382328033	0.30434103478486485	0.2532438635826111	0.11070920526981354	0.28372924368405217
80.0	0.268456369638443	0.05889645218849182	0.29011094291781897	0.24809841811656952	0.10879846662282944	0.2757901846523124
90.0	0.2711409628391266	0.0590096041560173	0.29232873155212824	0.2440716028213501	0.10686741769313812	0.27341095371962504
100.0	0.272483229637146	0.06011516600847244	0.2889583678774406	0.2413870394229889	0.10474172979593277	0.26867619470910914
110.0	0.2612975537776947	0.0568297803401947	0.28079731708952815	0.23914989829063416	0.10460606217384338	0.26568615444262994
120.0	0.25682327151298523	0.054821956902742386	0.27489110664145966	0.24049216508865356	0.10598435997962952	0.26443120606899684
130.0	0.2501118779182434	0.05359603837132454	0.26393085704213737	0.2328859269618988	0.10367318242788315	0.2544157339308198
