epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.22237138450145721	0.050207529217004776	0.22631678285389953	0.19418345391750336	0.08639132231473923	0.2108744258232683
20.0	0.2586129903793335	0.058415643870830536	0.2830367076979693	0.22505591809749603	0.0987449511885643	0.2577174298211141
30.0	0.29261747002601624	0.06701917946338654	0.31249156780302495	0.25100669264793396	0.1110188439488411	0.28333440843969215
40.0	0.2957494556903839	0.0661657378077507	0.3113854068831992	0.25950783491134644	0.11263648420572281	0.2872461459699437
50.0	0.3011185824871063	0.06983118504285812	0.3138221480144354	0.2604026794433594	0.11590195447206497	0.2885645529623943
60.0	0.29932886362075806	0.06642235070466995	0.31060427670472274	0.25570470094680786	0.1129245012998581	0.28353428683264464
70.0	0.29127517342567444	0.06516873836517334	0.3059263051867587	0.2505592703819275	0.10974608361721039	0.2789842892674183
80.0	0.2876957654953003	0.06346211582422256	0.30190730749186684	0.25212526321411133	0.1122354120016098	0.2789066395108361
90.0	0.2863534986972809	0.06361454725265503	0.2973297164964852	0.2505592703819275	0.11096344143152237	0.2751502962700614
100.0	0.276510089635849	0.06065474823117256	0.28833305557169225	0.2460850179195404	0.10931020975112915	0.269709300263017
110.0	0.27695751190185547	0.060746170580387115	0.28821440576448176	0.2407158762216568	0.10775526612997055	0.26574291855160126
120.0	0.27874723076820374	0.06182331219315529	0.29240286998654347	0.24026845395565033	0.10634201020002365	0.26746187906083263
130.0	0.27293065190315247	0.061090610921382904	0.2836246733770116	0.23780760169029236	0.10517885535955429	0.26132852006918084
140.0	0.2680089473724365	0.05925194174051285	0.28203495970739245	0.23825503885746002	0.10614939033985138	0.26281229855736127
150.0	0.2671141028404236	0.05972738936543465	0.2790447717643252	0.23266218602657318	0.10398641228675842	0.25724061725806185
