epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.20089486241340637	0.04426457732915878	0.21437507690413396	0.19060403108596802	0.08410067856311798	0.20853092669053414
20.0	0.2666666805744171	0.06064388155937195	0.284085552788037	0.2302013337612152	0.1021079421043396	0.25926214013035953
30.0	0.2930648624897003	0.06627307832241058	0.30629326508809784	0.2539149820804596	0.11308296769857407	0.281082768814087
40.0	0.30335572361946106	0.06921784579753876	0.31359608622108864	0.2559284269809723	0.11297431588172913	0.2838625058169705
50.0	0.28993290662765503	0.06495104730129242	0.30537309588955625	0.25615212321281433	0.11234442889690399	0.2835892927415379
60.0	0.2832214832305908	0.06385862827301025	0.29763150532323757	0.24765099585056305	0.10963989794254303	0.27537369257169225
70.0	0.28545865416526794	0.06578297913074493	0.29767987207828894	0.24720357358455658	0.11179342120885849	0.2744313645631626
80.0	0.28143176436424255	0.06376464664936066	0.2916337632112304	0.2440715879201889	0.10965871065855026	0.2695123906779817
90.0	0.27472037076950073	0.06261485815048218	0.2834897475879905	0.24026843905448914	0.10599489510059357	0.26364579707715163
100.0	0.2697986662387848	0.06114234775304794	0.2799292968158818	0.23378075659275055	0.1045718640089035	0.258680095554177
