doc_freq,posting_ptr,term_ptr,term_length
13,60784,1522,5
339,60888,1527,5
41,63600,1532,4
50,63928,1536,4
61,64328,1540,4
1,64816,1544,6
1,64824,1550,12
72,64832,1562,4
105,65408,1566,4
1,66248,1570,6
1,66256,1576,5
64,66264,1581,4
69,66776,1585,4
256,67328,1589,4
1,69376,1593,13
227,69384,1606,4
1,71200,1610,5
159,71208,1615,4
1,72480,1619,4
6,72488,1623,4
5,72536,1627,7
1,72576,1634,5
217,72584,1639,2
36,74320,1641,3
885,74608,1644,4
12,81688,1648,6
1,81784,1654,5
1,81792,1659,5
2,81800,1664,5
1,81816,1669,5
1,81824,1674,7
863,81832,1681,5
154,88736,1686,4
1,89968,1690,16
1,89976,1706,7
144,89984,1713,4
189,91136,1717,4
433,92648,1721,4
1,96112,1725,5
408,96120,1730,4
1,99384,1734,6
684,99392,1740,4
3,104864,1744,6
2,104888,1750,6
1,104904,1756,6
1,104912,1762,6
2,104920,1768,6
3,104936,1774,6
2,104960,1780,6
3,104976,1786,6
3,105000,1792,6
1,105024,1798,6
4,105032,1804,6
5,105064,1810,6
12,105104,1816,5
1,105200,1821,6
1,105208,1827,6
1,105216,1833,5
21,105224,1838,5
737,105392,1843,4
1,111288,1847,6
2,111296,1853,6
3,111312,1859,6
7,111336,1865,6
11,111392,1871,6
31,111480,1877,6
1,111728,1883,8
11,111736,1891,6
30,111824,1897,6
1,112064,1903,8
13,112072,1911,6
12,112176,1917,6
14,112272,1923,5
1,112384,1928,7
6,112392,1935,5
6,112440,1940,9
1,112488,1949,5
21,112496,1954,5
884,112664,1959,4
25,119736,1963,6
29,119936,1969,6
1,120168,1975,8
38,120176,1983,6
15,120480,1989,6
13,120600,1995,6
13,120704,2001,6
17,120808,2007,6
37,120944,2013,6
15,121240,2019,6
13,121360,2025,6
10,121464,2031,6
13,121544,2037,6
1,121648,2043,5
9,121656,2048,5
1,121728,2053,14
6,121736,2067,5
2,121784,2072,10
8,121800,2082,9
1,121864,2091,5
12,121872,2096,5
1,121968,2101,10
953,121976,2111,4
14,129600,2115,6
22,129712,2121,6
11,129888,2127,6
5,129976,2133,6
11,130016,2139,6
6,130104,2145,6
11,130152,2151,6
16,130240,2157,6
8,130368,2163,6
5,130432,2169,6
22,130472,2175,6
13,130648,2181,6
2,130752,2187,8
13,130768,2195,5
1,130872,2200,8
1,130880,2208,9
18,130888,2217,6
20,131032,2223,5
10,131192,2228,5
121,131272,2233,4
1,132240,2237,4
1,132248,2241,3
992,132256,2244,4
19,140192,2248,6
1,140344,2254,8
1,140352,2262,8
1,140360,2270,8
1,140368,2278,8
1,140376,2286,8
1,140384,2294,8
1,140392,2302,8
1,140400,2310,8
1,140408,2318,8
18,140416,2326,6
1,140560,2332,8
1,140568,2340,8
1,140576,2348,8
12,140584,2356,6
2,140680,2362,8
14,140696,2370,6
1,140808,2376,8
1,140816,2384,8
16,140824,2392,6
