word,offset,length
繪畫,6662,37
社會,6699,59
剃得,6758,3
推理小说,6761,150
来学,6911,3
撑持,6914,6
石田裕辅,6920,4
Frank,6924,3
老顽童,6927,15
书店,6942,286
半年,7228,6
落,7234,21
稚,7255,9
光明,7264,3
培养,7267,24
必为,7291,3
华艺,7294,6
疑惑,7300,9
ε,7309,30
万象,7339,5
论调,7344,3
不想,7347,40
受,7387,7
巫师,7394,14
人生哲理,7408,29
N3,7437,25
理工科,7462,18
昆明,7480,3
千绘,7483,18
杨戬,7501,3
密友,7504,28
走入,7532,3
JackKarouac,7535,3
老妪能解,7538,3
噱头,7541,3
临时,7544,21
恐,7565,3
恋曲,7568,3
啰嗦,7571,9
影人,7580,3
康永,7583,27
青眼,7610,3
輕迷,7613,3
1955,7616,3
围棋,7619,6
起床,7625,59
潜意识,7684,6
．,7690,108
莫多,7798,3
人大附中,7801,3
载,7804,11
容疑者,7815,3
中国史,7818,54
北风,7872,3
牌,7875,3
Happy,7878,3
安德森,7881,3
回想,7884,27
后劲,7911,3
Evolve,7914,3
96,7917,200
排挤,8117,42
Lovebest,8159,3
腐魂,8162,21
逛街,8183,3
乙一,8186,13
坏人,8199,6
LoneIyPlanet,8205,3
红斑狼疮,8208,3
moneyinurpocket,8211,3
neo,8214,19
克里斯蒂,8233,24
若有,8257,3
人生如梦,8260,3
印象派,8263,3
只道,8266,82
最爱小波,8348,3
热点,8351,18
行人,8369,3
泡沫,8372,79
二毛,8451,4
佐藤,8455,7
谎言,8462,21
巅峰,8483,20
ら,8503,4
基督山,8507,8
TM,8515,6
health,8521,3
灵界,8524,3
作乱,8527,4
mccullers,8531,3
不说,8534,3
思想者,8537,8
北美洲,8545,18
漆,8563,3
黑乙一,8566,13
计量经济学,8579,3
超龄儿童,8582,3
0711,8585,3
远端,8588,32
实再,8620,3
藤原,8623,3
城门,8626,3
想不起,8629,3
ü,8632,6
KV,8638,3
Drama,8641,16
预告,8657,4
夜华,8661,4
England,8665,41
获奖作品,8706,10
很假,8716,4
日,8720,267
郭,8987,23
关中平原,9010,3
爱虞姬,9013,4
harrypotter,9017,37
归属感,9054,3
勞倫斯,9057,3
ほ,9060,4
应有,9064,3
分钟,9067,6
党史,9073,6
泪奔,9079,4
荼,9083,6
person,9089,3
教堂,9092,4
SusanSontag,9096,6
沃霍,9102,4
滴血,9106,3
南生,9109,3
史哲,9112,79
平缓,9191,19
腾讯网,9210,4
文案,9214,7
恶女,9221,4
上半年,9225,20
J1,9245,3
human,9248,9
没落,9257,12
風土,9269,9
GuydeMaupassant,9278,3
没货,9281,3
nju,9284,13
外星,9297,6
冥顽不灵,9303,3
加持,9306,3
作文,9309,6
宗教,9315,200
paper,9515,78
叙事,9593,58
血腥,9651,19
小助,9670,3
CNG,9673,3
20091029,9676,3
盆地,9679,4
生与死,9683,15
熟悉,9698,9
marquez,9707,3
前辈,9710,4
钱氏,9714,14
殉国,9728,3
池莉,9731,3
