word,offset,length
斯福尔,6834,3
恶女,6837,3
ChiakiKuriyama,6840,3
上半年,6843,4
through,6847,3
弿,6850,10
Lees,6860,3
紧握,6863,5
oasis,6868,3
Summit,6871,18
宗教,6889,313
紀錄片,7202,41
LailaBoonyasak,7243,4
chanson,7247,3
王刚,7250,6
AnneHathway,7256,4
墨盒,7260,18
米歇尔,7278,33
满嘴,7311,4
hyde,7315,3
經過,7318,3
无法,7321,243
某年,7564,7
畢克鍾斯,7571,3
PA,7574,21
右倾,7595,3
ChanningTatum,7598,9
汹涌澎湃,7607,11
Freeman,7618,29
FU,7647,6
商,7653,6
Asked,7659,3
得瑟,7662,5
X2,7667,3
Shape,7670,3
同性恋爱,7673,14
這片,7687,4
MatthewFox,7691,3
星们,7694,4
陈莫,7698,4
icdage3,7702,4
Return,7706,5
VENICE,7711,3
either,7714,3
empty,7717,3
陪你去,7720,52
钟,7772,15
六四,7787,10
印地安人,7797,3
rin,7800,3
劇中,7803,4
HarveyKeite,7807,3
金牛座,7810,5
VincentDOnofrio,7815,3
馥兰妮,7818,3
容易,7821,51
lloyd,7872,3
蛮,7875,108
留神,7983,6
害,7989,87
费雯,8076,5
interaction,8081,4
配,8085,9
男风,8094,3
tbbt,8097,7
钱嘉乐,8104,36
姜宏波,8140,9
KristinScottThomas,8149,16
哈薩,8165,3
keyilijiedehuoxinyuyan,8168,3
Galecki,8171,10
代表作,8181,24
醇,8205,3
輕喜劇,8208,3
正负,8211,3
Mockumentary,8214,6
内尔,8220,9
Д,8229,16
命题,8245,11
两天,8256,3
benneng,8259,3
惠贞,8262,3
互,8265,3
Lyndsy,8268,4
小野,8272,12
消费品,8284,9
独我乐,8293,4
吴承恩,8297,6
偷儿,8303,4
眠,8307,3
Tucker,8310,5
唇红齿白,8315,3
天时地利人和,8318,4
菲尼克斯,8322,7
凶恶,8329,134
罗密欧,8463,12
范宁,8475,12
lolita,8487,64
StevenSpielburg,8551,3
锶,8554,4
只好,8558,16
AnthonyMackie,8574,6
干与,8580,11
悬疑剧,8591,4
jooey,8595,4
晚安,8599,3
尺度,8602,12
Dreamworkers,8614,4
BT,8618,134
差得,8752,3
溫度,8755,6
范霍夫,8761,3
SteveMcVicker,8764,4
frozen,8768,3
张燊悦,8771,3
转泪,8774,3
大恋,8777,43
鸡蛋里挑,8820,4
很入,8824,6
此世,8830,3
听,8833,58
Penis,8891,3
