doc_freq,posting_ptr,term_ptr,term_length
1,43000,1602,4
2,43008,1606,2
2,43024,1608,2
1,43040,1610,2
1,43048,1612,2
1,43056,1614,2
4,43064,1616,5
2,43096,1621,15
1,43112,1636,4
2,43120,1640,2
32,43136,1642,4
1,43392,1646,3
43,43400,1649,8
1,43744,1657,3
1,43752,1660,2
1,43760,1662,5
1,43768,1667,2
1,43776,1669,3
1,43784,1672,2
1,43792,1674,6
6,43800,1680,5
12,43848,1685,2
1,43944,1687,3
1,43952,1690,3
1,43960,1693,10
1,43968,1703,10
1,43976,1713,4
1,43984,1717,2
1,43992,1719,8
1,44000,1727,5
1,44008,1732,7
6,44016,1739,5
153,44064,1744,2
1,45288,1746,3
1,45296,1749,4
1,45304,1753,5
1,45312,1758,3
6,45320,1761,3
1,45368,1764,2
1,45376,1766,2
1,45384,1768,3
1,45392,1771,2
15,45400,1773,5
2,45520,1778,2
1,45536,1780,2
1,45544,1782,2
2,45552,1784,2
94,45568,1786,2
1,46320,1788,13
6,46328,1801,2
1,46376,1803,4
6,46384,1807,5
296,46432,1812,1
1,48800,1813,2
1,48808,1815,2
3,48816,1817,3
2,48840,1820,14
4,48856,1834,2
1,48888,1836,3
3,48896,1839,2
44,48920,1841,3
1,49272,1844,4
2,49280,1848,2
1,49296,1850,2
12,49304,1852,3
4,49400,1855,2
1,49432,1857,4
1,49440,1861,4
5,49448,1865,3
4,49488,1868,7
3,49520,1875,4
2,49544,1879,8
1,49560,1887,3
3,49568,1890,3
1,49592,1893,7
3,49600,1900,9
1,49624,1909,6
30,49632,1915,6
2,49872,1921,2
15,49888,1923,5
1,50008,1928,6
1,50016,1934,2
3,50024,1936,5
4,50048,1941,8
1,50080,1949,7
1,50088,1956,4
2,50096,1960,2
1,50112,1962,5
4,50120,1967,10
1,50152,1977,5
1,50160,1982,7
1,50168,1989,11
9,50176,2000,6
9,50248,2006,14
1,50320,2020,10
2,50328,2030,5
2,50344,2035,12
1,50360,2047,8
1,50368,2055,8
4,50376,2063,5
3,50408,2068,13
4,50432,2081,13
3,50464,2094,13
6,50488,2107,4
3,50536,2111,6
2,50560,2117,11
1,50576,2128,5
1,50584,2133,5
1,50592,2138,6
1,50600,2144,6
1,50608,2150,12
2,50616,2162,9
5,50632,2171,9
3,50672,2180,14
38,50696,2194,5
1,51000,2199,11
42,51008,2210,3
2,51344,2213,9
1,51360,2222,5
10,51368,2227,6
1,51448,2233,6
1,51456,2239,5
1,51464,2244,14
24,51472,2258,7
38,51664,2265,8
3,51968,2273,18
4,51992,2291,4
1,52024,2295,2
1,52032,2297,4
3,52040,2301,5
1,52064,2306,9
1,52072,2315,7
2,52080,2322,8
1,52096,2330,6
1,52104,2336,15
3,52112,2351,4
2,52136,2355,9
1,52152,2364,10
1,52160,2374,6
2,52168,2380,5
1,52184,2385,11
1,52192,2396,6
10,52200,2402,5
1,52280,2407,10
51,52288,2417,3
9,52696,2420,7
1,52768,2427,4
1,52776,2431,9
2,52784,2440,7
8,52800,2447,12
4,52864,2459,4
1,52896,2463,7
1,52904,2470,18
1,52912,2488,12
1,52920,2500,9
3,52928,2509,14
1,52952,2523,14
1,52960,2537,7
1,52968,2544,9
1,52976,2553,15
1,52984,2568,9
3,52992,2577,6
8,53016,2583,5
1,53080,2588,9
18,53088,2597,12
1,53232,2609,9
1,53240,2618,9
33,53248,2627,3
5,53512,2630,8
1,53552,2638,6
1,53560,2644,16
1,53568,2660,4
1,53576,2664,5
2,53584,2669,6
2,53600,2675,7
1,53616,2682,5
1,53624,2687,5
1,53632,2692,9
1,53640,2701,6
1,53648,2707,17
1,53656,2724,6
3,53664,2730,6
3,53688,2736,6
2,53712,2742,6
2,53728,2748,9
2,53744,2757,7
6,53760,2764,13
2,53808,2777,5
147,53824,2782,1
2,55000,2783,2
1,55016,2785,4
1,55024,2789,2
1,55032,2791,4
6,55040,2795,4
1,55088,2799,7
5,55096,2806,3
1,55136,2809,6
3,55144,2815,9
1,55168,2824,4
1,55176,2828,6
1,55184,2834,3
2,55192,2837,3
4,55208,2840,8
4,55240,2848,9
1,55272,2857,8
27,55280,2865,2
1,55496,2867,2
1,55504,2869,4
1,55512,2873,9
1,55520,2882,3
10,55528,2885,2
1,55608,2887,4
1,55616,2891,4
22,55624,2895,2
1,55800,2897,6
1,55808,2903,7
97,55816,2910,4
1,56592,2914,5
2,56600,2919,5
1,56616,2924,3
2,56624,2927,4
2,56640,2931,2
1,56656,2933,8
43,56664,2941,3
1,57008,2944,5
7,57016,2949,4
1,57072,2953,4
2,57080,2957,6
1,57096,2963,6
5,57104,2969,6
1,57144,2975,4
1,57152,2979,5
1,57160,2984,10
4,57168,2994,4
2,57200,2998,14
1,57216,3012,7
1,57224,3019,6
1,57232,3025,8
1,57240,3033,11
2,57248,3044,5
1,57264,3049,8
5,57272,3057,8
2,57312,3065,9
1,57328,3074,6
1,57336,3080,8
2,57344,3088,15
1,57360,3103,8
1,57368,3111,15
9,57376,3126,4
3,57448,3130,11
2,57472,3141,10
1,57488,3151,5
6,57496,3156,9
1,57544,3165,4
1,57552,3169,10
4,57560,3179,3
1,57592,3182,9
3,57600,3191,11
25,57624,3202,9
1,57824,3211,5
1,57832,3216,8
14,57840,3224,3
1,57952,3227,6
1,57960,3233,5
1,57968,3238,4
1,57976,3242,3
1,57984,3245,8
1,57992,3253,3
69,58000,3256,4
15,58552,3260,5
1,58672,3265,6
3,58680,3271,6
4,58704,3277,6
1,58736,3283,19
2,58744,3302,10
1,58760,3312,6
1,58768,3318,8
9,58776,3326,7
6,58848,3333,7
1,58896,3340,9
1,58904,3349,5
3,58912,3354,6
1,58936,3360,8
5,58944,3368,5
3,58984,3373,8
24,59008,3381,8
1,59200,3389,6
13,59208,3395,3
1,59312,3398,10
3,59320,3408,2
80,59344,3410,1
1,59984,3411,4
1,59992,3415,2
7,60000,3417,2
7,60056,3419,2
7,60112,3421,2
7,60168,3423,2
1,60224,3425,2
1,60232,3427,2
1,60240,3429,2
1,60248,3431,2
13,60256,3433,2
1,60360,3435,3
2,60368,3438,6
1,60384,3444,3
1,60392,3447,4
1,60400,3451,2
3,60408,3453,3
1,60432,3456,3
10,60440,3459,3
16,60520,3462,3
19,60648,3465,8
1,60800,3473,4
2,60808,3477,2
11,60824,3479,5
2,60912,3484,6
2,60928,3490,2
34,60944,3492,2
1,61216,3494,3
60,61224,3497,5
3,61704,3502,13
1,61728,3515,5
2,61736,3520,4
4,61752,3524,2
7,61784,3526,5
1,61840,3531,3
5,61848,3534,7
1,61888,3541,3
1,61896,3544,3
3,61904,3547,6
8,61928,3553,7
1,61992,3560,9
3,62000,3569,5
19,62024,3574,8
1,62176,3582,4
1,62184,3586,6
1,62192,3592,4
8,62200,3596,6
1,62264,3602,6
1,62272,3608,15
1,62280,3623,8
1,62288,3631,16
2,62296,3647,6
2,62312,3653,15
2,62328,3668,7
2,62344,3675,6
1,62360,3681,7
2,62368,3688,2
1,62384,3690,6
1,62392,3696,5
1,62400,3701,9
1,62408,3710,6
1,62416,3716,8
1,62424,3724,15
2,62432,3739,6
2,62448,3745,8
1,62464,3753,4
1,62472,3757,7
1,62480,3764,16
3,62488,3780,7
2,62512,3787,14
1,62528,3801,23
1,62536,3824,9
1,62544,3833,14
2,62552,3847,15
1,62568,3862,14
1,62576,3876,6
5,62584,3882,9
4,62624,3891,8
109,62656,3899,5
160,63528,3904,7
4,64808,3911,29
51,64840,3940,14
6,65248,3954,14
1,65296,3968,5
1,65304,3973,13
1,65312,3986,6
1,65320,3992,12
9,65328,4004,8
2,65400,4012,3
1,65416,4015,8
9,65424,4023,4
1,65496,4027,5
9,65504,4032,5
18,65576,4037,7
14,65720,4044,9
6,65832,4053,8
28,65880,4061,3
1,66104,4064,5
2,66112,4069,6
1,66128,4075,6
1,66136,4081,4
1,66144,4085,6
1,66152,4091,8
6,66160,4099,6
2,66208,4105,11
110,66224,4116,5
1,67104,4121,7
1,67112,4128,11
29,67120,4139,6
7,67352,4145,5
1,67408,4150,13
2,67416,4163,5
1,67432,4168,10
1,67440,4178,8
1,67448,4186,10
1,67456,4196,12
1,67464,4208,13
1,67472,4221,11
5,67480,4232,12
1,67520,4244,8
1,67528,4252,6
2,67536,4258,10
1,67552,4268,4
1,67560,4272,5
1,67568,4277,9
1,67576,4286,5
2,67584,4291,7
1,67600,4298,4
1,67608,4302,17
1,67616,4319,18
72,67624,4337,7
6,68200,4344,17
1,68248,4361,3
3,68256,4364,7
8,68280,4371,8
10,68344,4379,6
6,68424,4385,5
1,68472,4390,5
119,68480,4395,1
1,69432,4396,9
1,69440,4405,9
23,69448,4414,2
1,69632,4416,3
1,69640,4419,2
30,69648,4421,2
4,69888,4423,2
2,69920,4425,5
1,69936,4430,3
1,69944,4433,7
2,69952,4440,6
6,69968,4446,3
1,70016,4449,2
2,70024,4451,2
1,70040,4453,3
1,70048,4456,4
1,70056,4460,4
1,70064,4464,4
2,70072,4468,3
1,70088,4471,2
1,70096,4473,5
3,70104,4478,5
1,70128,4483,4
5,70136,4487,3
3,70176,4490,8
5,70200,4498,8
1,70240,4506,11
1,70248,4517,8
2,70256,4525,5
1,70272,4530,6
1,70280,4536,3
1,70288,4539,5
3,70296,4544,2
1,70320,4546,8
1,70328,4554,4
1,70336,4558,5
1,70344,4563,9
1,70352,4572,7
1,70360,4579,5
6,70368,4584,9
1,70416,4593,7
1,70424,4600,10
1,70432,4610,3
18,70440,4613,6
23,70584,4619,9
6,70768,4628,7
1,70816,4635,8
2,70824,4643,11
2,70840,4654,3
1,70856,4657,5
1,70864,4662,16
2,70872,4678,7
3,70888,4685,10
1,70912,4695,9
1,70920,4704,7
1,70928,4711,5
1,70936,4716,9
1,70944,4725,14
1,70952,4739,6
1,70960,4745,5
1,70968,4750,12
1,70976,4762,11
1,70984,4773,6
1,70992,4779,7
1,71000,4786,12
1,71008,4798,5
1,71016,4803,6
6,71024,4809,5
2,71072,4814,7
10,71088,4821,5
1,71168,4826,14
1,71176,4840,7
2,71184,4847,10
1,71200,4857,5
4,71208,4862,5
2,71240,4867,4
7,71256,4871,5
1,71312,4876,5
5,71320,4881,8
3,71360,4889,2
132,71384,4891,1
5,72440,4892,2
6,72480,4894,4
1,72528,4898,3
2,72536,4901,3
1,72552,4904,4
1,72560,4908,4
1,72568,4912,3
1,72576,4915,3
2,72584,4918,5
1,72600,4923,4
7,72608,4927,5
12,72664,4932,4
1,72760,4936,3
2,72768,4939,4
5,72784,4943,8
13,72824,4951,9
1,72928,4960,9
3,72936,4969,7
1,72960,4976,15
2,72968,4991,9
9,72984,5000,4
1,73056,5004,14
1,73064,5018,15
1,73072,5033,4
1,73080,5037,6
1,73088,5043,11
2,73096,5054,5
2,73112,5059,11
13,73128,5070,7
1,73232,5077,5
16,73240,5082,7
11,73368,5089,7
2,73456,5096,17
1,73472,5113,11
14,73480,5124,4
3,73592,5128,9
1,73616,5137,13
2,73624,5150,16
1,73640,5166,4
2,73648,5170,10
1,73664,5180,4
1,73672,5184,6
1,73680,5190,15
1,73688,5205,2
1,73696,5207,4
1,73704,5211,9
53,73712,5220,5
10,74136,5225,6
1,74216,5231,5
1,74224,5236,18
1,74232,5254,7
1,74240,5261,6
1,74248,5267,10
4,74256,5277,4
3,74288,5281,7
1,74312,5288,4
50,74320,5292,1
4,74720,5293,2
1,74752,5295,2
1,74760,5297,2
8,74768,5299,6
1,74832,5305,10
1,74840,5315,8
24,74848,5323,4
2,75040,5327,2
1,75056,5329,3
1,75064,5332,2
5,75072,5334,2
5,75112,5336,4
1,75152,5340,7
1,75160,5347,3
1,75168,5350,16
1,75176,5366,3
1,75184,5369,4
3,75192,5373,5
1,75216,5378,2
2,75224,5380,2
10,75240,5382,5
6,75320,5387,9
5,75368,5396,10
11,75408,5406,9
1,75496,5415,3
8,75504,5418,7
7,75568,5425,17
19,75624,5442,7
18,75776,5449,3
3,75920,5452,8
6,75944,5460,9
7,75992,5469,9
1,76048,5478,6
2,76056,5484,10
1,76072,5494,8
1,76080,5502,15
1,76088,5517,7
13,76096,5524,2
3,76200,5526,3
1,76224,5529,6
267,76232,5535,7
2,78368,5542,5
9,78384,5547,4
2,78456,5551,12
1,78472,5563,6
2,78480,5569,5
11,78496,5574,7
1,78584,5581,9
4,78592,5590,5
1,78624,5595,5
2,78632,5600,10
1,78648,5610,4
1,78656,5614,4
1,78664,5618,8
1,78672,5626,8
1,78680,5634,4
1,78688,5638,6
58,78696,5644,7
20,79160,5651,17
2,79320,5668,10
1,79336,5678,8
1,79344,5686,7
10,79352,5693,7
16,79432,5700,4
2,79560,5704,8
28,79576,5712,6
1,79800,5718,9
1,79808,5727,14
1,79816,5741,5
2,79824,5746,5
2,79840,5751,10
1,79856,5761,12
1,79864,5773,4
1,79872,5777,8
17,79880,5785,6
1,80016,5791,16
2,80024,5807,5
1,80040,5812,10
1,80048,5822,8
1,80056,5830,9
1,80064,5839,14
1,80072,5853,10
3,80080,5863,4
1,80104,5867,10
1,80112,5877,8
1,80120,5885,5
1,80128,5890,7
1,80136,5897,6
61,80144,5903,1
2,80632,5904,3
4,80648,5907,2
1,80680,5909,2
2,80688,5911,6
2,80704,5917,2
1,80720,5919,4
3,80728,5923,3
1,80752,5926,2
1,80760,5928,5
1,80768,5933,2
1,80776,5935,8
1,80784,5943,3
1,80792,5946,6
1,80800,5952,4
1,80808,5956,2
6,80816,5958,3
1,80864,5961,3
2,80872,5964,3
1,80888,5967,2
2,80896,5969,7
4,80912,5976,7
2,80944,5983,11
1,80960,5994,6
1,80968,6000,6
1,80976,6006,7
1,80984,6013,8
2,80992,6021,4
2,81008,6025,6
3,81024,6031,13
2,81048,6044,3
3,81064,6047,4
1,81088,6051,8
1,81096,6059,6
4,81104,6065,10
1,81136,6075,8
1,81144,6083,9
21,81152,6092,8
6,81320,6100,6
5,81368,6106,12
1,81408,6118,7
1,81416,6125,14
1,81424,6139,9
3,81432,6148,6
7,81456,6154,7
1,81512,6161,9
1,81520,6170,12
9,81528,6182,4
3,81600,6186,5
1,81624,6191,13
1,81632,6204,6
1,81640,6210,6
1,81648,6216,4
2,81656,6220,4
1,81672,6224,4
2,81680,6228,6
4,81696,6234,10
1,81728,6244,4
3,81736,6248,7
1,81760,6255,13
24,81768,6268,7
1,81960,6275,4
1,81968,6279,5
1,81976,6284,12
1,81984,6296,8
1,81992,6304,7
1,82000,6311,5
2,82008,6316,7
1,82024,6323,12
2,82032,6335,3
3,82048,6338,15
1,82072,6353,15
21,82080,6368,1
1,82248,6369,2
2,82256,6371,2
1,82272,6373,5
1,82280,6378,5
1,82288,6383,2
1,82296,6385,2
1,82304,6387,2
1,82312,6389,2
1,82320,6391,6
1,82328,6397,4
1,82336,6401,5
1,82344,6406,5
1,82352,6411,2
1,82360,6413,2
1,82368,6415,3
11,82376,6418,2
11,82464,6420,2
4,82552,6422,7
1,82584,6429,7
30,82592,6436,2
1,82832,6438,8
2,82840,6446,3
14,82856,6449,2
2,82968,6451,2
1,82984,6453,4
1,82992,6457,2
1,83000,6459,8
2,83008,6467,2
1,83024,6469,4
1,83032,6473,7
1,83040,6480,5
1,83048,6485,4
1,83056,6489,12
2,83064,6501,21
1,83080,6522,6
1,83088,6528,5
1,83096,6533,9
2,83104,6542,5
11,83120,6547,5
14,83208,6552,11
7,83320,6563,11
17,83376,6574,6
1,83512,6580,14
8,83520,6594,4
3,83584,6598,7
1,83608,6605,5
2,83616,6610,6
1,83632,6616,5
1,83640,6621,6
1,83648,6627,11
1,83656,6638,6
1,83664,6644,11
8,83672,6655,8
2,83736,6663,9
1,83752,6672,10
2,83760,6682,5
1,83776,6687,6
2,83784,6693,7
1,83800,6700,4
88,83808,6704,6
1,84512,6710,8
57,84520,6718,7
1,84976,6725,12
1,84984,6737,6
1,84992,6743,9
4,85000,6752,7
5,85032,6759,4
1,85072,6763,12
1,85080,6775,5
7,85088,6780,4
1,85144,6784,6
6,85152,6790,8
